season,competition,club,date,result,opponent,goalkeeper,player,scored
14/15,Campeonato Brasileiro Série C,Guaratinguetá (SP),2015-08-30,2:3,SER Caxias do Sul (RS),Marcelo Pitol,Léo Pereira,1
14/15,UEFA Champions League,FC Porto,2015-02-18,1:1,FC Basel 1893,Tomáš Vaclík,Danilo,1
14/15,Liga Portugal,FC Porto,2014-12-19,4:0,Vitória Setúbal FC,Ricardo Batista,Danilo,1
13/14,Liga Portugal,FC Porto,2013-11-30,1:0,Académica Coimbra,Ricardo Nunes,Danilo,0
25/26,AFC Champions League Elite,Al-Ittihad Club,2026-04-14,1:0,Al-Wahda FC,Zayed Ahmed,Fabinho,1
25/26,Saudi Pro League,Al-Ittihad Club,2026-03-06,3:1,Al-Ahli SFC,Edouard Mendy,Fabinho,1
24/25,King's Cup,Al-Ittihad Club,2025-04-01,3:2,Al-Shabab FC,Georgiy Bushchan,Fabinho,1
21/22,Premier League,Liverpool FC,2022-04-02,2:0,Watford FC,Ben Foster,Fabinho,1
21/22,Premier League,Liverpool FC,2022-01-23,1:3,Crystal Palace,Vicente Guaita,Fabinho,1
21/22,FA Cup,Liverpool FC,2022-01-09,4:1,Shrewsbury Town,Marko Marosi,Fabinho,1
17/18,Ligue 1,AS Monaco,2018-02-16,4:0,Dijon FCO,Baptiste Reynet,Fabinho,1
17/18,Coupe de France,AS Monaco,2018-01-06,2:5,AS Yzeure,Jonathan Millieras,Fabinho,1
17/18,Ligue 1,AS Monaco,2017-11-04,6:0,EA Guingamp,Karl-Johan Johnsson,Fabinho,1
17/18,Ligue 1,AS Monaco,2017-08-27,6:1,Olympique Marseille,Steve Mandanda,Fabinho,1
16/17,Ligue 1,AS Monaco,2017-03-19,0:3,SM Caen,Rémy Vercoutre,Fabinho,1
16/17,Ligue 1,AS Monaco,2017-03-05,4:0,FC Nantes,Maxime Dupé,Fabinho,1
16/17,Ligue 1,AS Monaco,2017-02-25,1:2,EA Guingamp,Karl-Johan Johnsson,Fabinho,1
16/17,Ligue 1,AS Monaco,2016-11-05,6:0,AS Nancy-Lorraine,Guy Roland Ndy Assembé,Fabinho,1
16/17,Ligue 1,AS Monaco,2016-10-01,0:7,FC Metz,Thomas Didillon-Hödl,Fabinho,1
24/25,Saudi Pro League,Al-Ittihad Club,2025-04-17,2:0,Al-Fateh SC,Nawaf Al-Aqidi,Fabinho,0
23/24,Saudi Pro League,Al-Ittihad Club,2024-05-27,4:2,Al-Nassr FC,Raghed Al-Najjar,Fabinho,0
16/17,UEFA Champions League,AS Monaco,2017-04-12,2:3,Borussia Dortmund,Roman Bürki,Fabinho,0
16/17,Ligue 1,AS Monaco,2016-08-28,3:1,Paris Saint-Germain,Kevin Trapp,Fabinho,1
16/17,UEFA Champions League Qualifying,AS Monaco,2016-08-23,1:0,Villarreal CF,Sergio Asenjo,Fabinho,1
